,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
250,1688,36639,0.0,0.0,9.555555555555555
688,17040,36572,0.0,0.0,1.0
686,17049,36533,0.0,0.0,1.0
778,21554,35912,0.0,0.0,2.0
574,17031,35737,0.0,0.0,1.0
477,20387,35599,0.0,0.0,1.0
500,17069,35088,0.0,0.0,4.0
405,546,34976,0.0,0.0,250.0
494,10343,34639,0.0,0.0,3.1666666666666665
519,19849,34426,0.0,0.0,9.534482758620692
1183,20460,34325,0.0,0.0,2.0
104,9852,34214,0.0,0.0,1.0
669,17080,34120,0.0,0.0,4.0
843,24411,33961,0.0,0.0,1.0
517,17077,33924,0.0,0.0,4.0
12,23643,33784,0.0,0.0,2.1666666666666665
